,iteraciones,difference_norm,time
121,32000.0,1.1104749120249835e-10,2035176937.0
122,34000.0,1.1388728182737395e-10,2145035010.0
123,36000.0,1.307295960373267e-10,2305051561.0
124,38000.0,1.318299425179248e-10,2400706149.0
125,40000.0,9.550884527698144e-11,2565864050.0
126,0.0,42472.24659345818,10856710.0
127,2000.0,647.400489126208,131478300.0
128,4000.0,101.40891331446123,256293143.0
129,6000.0,40.917212210000976,442286831.0
130,8000.0,16.987385560307768,544020471.0
131,10000.0,3.9976450371866976,663701629.0
132,12000.0,0.10881929872480517,777319136.0
133,14000.0,0.0308355461386288,894444856.0
134,16000.0,0.0006427570212789213,1018781785.0
135,18000.0,0.014665537489043512,1177545761.0
136,20000.0,9.090649094856574e-05,1338095072.0
137,22000.0,0.004711951683749156,1374243615.0
138,24000.0,2.4557341205806436e-05,1476248796.0
139,26000.0,0.00014825270276725534,1607144228.0
140,28000.0,5.96869505216091e-06,1701124032.0
141,30000.0,0.0005106292348681407,1825443864.0
142,32000.0,1.342853291141921e-07,1968181643.0
143,34000.0,6.134889166187207e-06,2071732552.0
144,36000.0,5.0878044214535126e-05,2208977980.0
145,38000.0,1.7086861282322729e-07,2382697684.0
146,40000.0,2.0054033242900005e-08,2514964083.0
147,0.0,42135.23172766493,10785026.0
148,2000.0,159.23088570487621,138416481.0
149,4000.0,26.72831191492966,258207598.0
150,6000.0,10.656034433919977,382024052.0
151,8000.0,2.192024690314945,498709853.0
152,10000.0,0.7999691619582495,626587684.0
153,12000.0,15.987575791441477,746023911.0
154,14000.0,0.027399535864450257,895080518.0
155,16000.0,0.0008019279764961596,987393584.0
156,18000.0,0.5565025245753757,1120383066.0
157,20000.0,0.000696763117228798,1224706430.0
158,22000.0,0.01410762125005924,1360174130.0
159,24000.0,5.2963452082863686e-05,1467642587.0
160,26000.0,0.0007209541440201405,1583073013.0
161,28000.0,0.0006252331676262202,1705527343.0
162,30000.0,4.0649747177212705e-08,1824049361.0
163,32000.0,8.091259647699189e-05,1945192924.0
164,34000.0,7.485271859458464e-05,2073949101.0
165,36000.0,0.00017907792440780668,2189969741.0
166,38000.0,5.2923510714251164e-05,2336094242.0
167,40000.0,2.5905621116137923e-05,2444294534.0
168,0.0,88447.72114998754,10991392.0
169,2000.0,497.40099737034996,131939205.0
170,4000.0,167.6345213943236,254425587.0
171,6000.0,97.39377622214275,375231871.0
172,8000.0,13.52900471412297,503898507.0
173,10000.0,10.255493866821782,624320791.0
174,12000.0,3.046092187047902,806605363.0
175,14000.0,0.27281226604052633,952438054.0
176,16000.0,0.18840041344589153,988268660.0
177,18000.0,2.3319983727572353,1107856271.0
178,20000.0,0.6831007141219423,1313486812.0
179,22000.0,0.8559565105368874,1343405915.0
180,24000.0,0.007960590362045421,1519532061.0
181,26000.0,0.0004312481941533619,1659463276.0
182,28000.0,0.8210373802928171,1797965861.0
183,30000.0,0.015280269798052765,1891542582.0
184,32000.0,0.00023800505470464195,2047551440.0
185,34000.0,0.021946606190081822,2145167586.0
186,36000.0,5.4933491356754516e-05,2311749769.0
187,38000.0,0.00014711347355921944,2485315468.0
188,40000.0,0.00024861086200359315,2670141818.0
189,0.0,41616.963458670594,10860567.0
