,K,alpha,k,accuracy,precision,recall
0,5.0,21.0,1.0,0.79,"[0.91666667 0.76923077 1.         0.58333333 0.81818182 0.77777778
 0.85714286 0.64285714 1.         0.83333333]","[0.91666667 1.         0.33333333 0.77777778 0.9        0.77777778
 0.66666667 0.9        0.75       0.90909091]"
1,5.0,21.0,5.0,0.73,"[0.90909091 0.66666667 1.         0.53846154 0.81818182 1.
 0.75       0.61538462 0.71428571 0.69230769]","[0.83333333 1.         0.41666667 0.77777778 0.9        0.44444444
 0.66666667 0.8        0.625      0.81818182]"
2,5.0,21.0,10.0,0.72,"[0.90909091 0.55555556 0.8        0.61538462 0.9        1.
 0.66666667 0.66666667 0.8        0.69230769]","[0.83333333 1.         0.33333333 0.88888889 0.9        0.44444444
 0.66666667 0.8        0.5        0.81818182]"
3,5.0,21.0,15.0,0.69,"[0.91666667 0.47619048 1.         0.58333333 0.8        1.
 0.71428571 0.75       0.8        0.6       ]","[0.91666667 1.         0.25       0.77777778 0.8        0.33333333
 0.55555556 0.9        0.5        0.81818182]"
4,5.0,21.0,20.0,0.69,"[1.         0.45454545 1.         0.54545455 0.8        1.
 0.71428571 0.81818182 1.         0.52941176]","[0.91666667 1.         0.25       0.66666667 0.8        0.33333333
 0.55555556 0.9        0.625      0.81818182]"
5,5.0,21.0,25.0,0.67,"[1.         0.45454545 1.         0.5        0.8        1.
 0.71428571 0.75       0.83333333 0.52941176]","[0.83333333 1.         0.25       0.55555556 0.8        0.33333333
 0.55555556 0.9        0.625      0.81818182]"
6,5.0,21.0,30.0,0.68,"[1.         0.43478261 1.         0.55555556 0.8        1.
 0.75       0.75       0.83333333 0.5625    ]","[0.83333333 1.         0.25       0.55555556 0.8        0.33333333
 0.66666667 0.9        0.625      0.81818182]"
7,5.0,21.0,35.0,0.65,"[1.         0.43478261 1.         0.45454545 0.8        1.
 0.75       0.69230769 0.8        0.5625    ]","[0.83333333 1.         0.25       0.55555556 0.8        0.11111111
 0.66666667 0.9        0.5        0.81818182]"
8,5.0,21.0,40.0,0.66,"[1.         0.4        1.         0.45454545 0.77777778 1.
 0.85714286 0.75       1.         0.5625    ]","[0.91666667 1.         0.25       0.55555556 0.7        0.33333333
 0.66666667 0.9        0.375      0.81818182]"
9,5.0,21.0,45.0,0.62,"[1.         0.37037037 1.         0.45454545 0.77777778 0.
 0.75       0.75       1.         0.52941176]","[0.91666667 1.         0.25       0.55555556 0.7        0.
 0.66666667 0.9        0.25       0.81818182]"
10,5.0,21.0,50.0,0.6,"[1.         0.37037037 0.66666667 0.46153846 0.77777778 0.
 0.75       0.66666667 1.         0.5625    ]","[0.83333333 1.         0.16666667 0.66666667 0.7        0.
 0.66666667 0.8        0.25       0.81818182]"
11,5.0,21.0,55.0,0.59,"[1.         0.35714286 0.66666667 0.41666667 0.75       0.
 0.75       0.69230769 1.         0.5625    ]","[0.83333333 1.         0.16666667 0.55555556 0.6        0.
 0.66666667 0.9        0.25       0.81818182]"
12,5.0,21.0,60.0,0.56,"[0.90909091 0.33333333 0.66666667 0.41666667 0.75       0.
 0.66666667 0.69230769 1.         0.5625    ]","[0.83333333 1.         0.16666667 0.55555556 0.6        0.
 0.44444444 0.9        0.125      0.81818182]"
13,5.0,21.0,65.0,0.57,"[1.         0.32258065 0.75       0.4        0.75       0.
 0.71428571 0.69230769 1.         0.5625    ]","[0.83333333 1.         0.25       0.44444444 0.6        0.
 0.55555556 0.9        0.125      0.81818182]"
14,5.0,21.0,70.0,0.56,"[1.         0.3030303  0.66666667 0.33333333 0.77777778 0.
 0.71428571 0.75       1.         0.5625    ]","[0.83333333 1.         0.16666667 0.33333333 0.7        0.
 0.55555556 0.9        0.125      0.81818182]"
15,5.0,21.0,75.0,0.56,"[1.         0.3030303  1.         0.33333333 0.77777778 0.
 0.71428571 0.72727273 1.         0.52941176]","[0.91666667 1.         0.16666667 0.33333333 0.7        0.
 0.55555556 0.8        0.125      0.81818182]"
16,5.0,21.0,80.0,0.55,"[1.         0.3030303  0.66666667 0.33333333 0.77777778 0.
 0.71428571 0.72727273 1.         0.52941176]","[0.83333333 1.         0.16666667 0.33333333 0.7        0.
 0.55555556 0.8        0.125      0.81818182]"
17,5.0,21.0,85.0,0.55,"[1.         0.3030303  0.66666667 0.33333333 0.77777778 0.
 0.71428571 0.72727273 1.         0.52941176]","[0.83333333 1.         0.16666667 0.33333333 0.7        0.
 0.55555556 0.8        0.125      0.81818182]"
18,5.0,21.0,90.0,0.56,"[1.         0.29411765 0.66666667 0.5        0.77777778 0.
 0.71428571 0.66666667 1.         0.6       ]","[0.83333333 1.         0.16666667 0.66666667 0.7        0.
 0.55555556 0.6        0.125      0.81818182]"
19,5.0,21.0,95.0,0.57,"[1.         0.3125     0.5        0.46153846 0.77777778 0.
 0.71428571 0.8        1.         0.5625    ]","[0.83333333 1.         0.08333333 0.66666667 0.7        0.
 0.55555556 0.8        0.125      0.81818182]"
