,K,alpha,k,accuracy,precision,recall
20,5.0,21.0,100.0,0.51,"[1.         0.25641026 0.5        0.36363636 0.77777778 0.
 0.83333333 0.83333333 1.         0.5       ]","[0.83333333 1.         0.08333333 0.44444444 0.7        0.
 0.55555556 0.5        0.125      0.72727273]"
21,5.0,21.0,105.0,0.51,"[1.         0.26315789 1.         0.36363636 0.77777778 0.
 0.71428571 0.83333333 1.         0.47058824]","[0.83333333 1.         0.08333333 0.44444444 0.7        0.
 0.55555556 0.5        0.125      0.72727273]"
22,5.0,21.0,110.0,0.5,"[0.90909091 0.26315789 0.5        0.3        0.77777778 0.
 0.66666667 0.85714286 1.         0.5       ]","[0.83333333 1.         0.08333333 0.33333333 0.7        0.
 0.44444444 0.6        0.125      0.72727273]"
23,5.0,21.0,115.0,0.5,"[1.         0.25641026 0.5        0.27272727 0.75       0.
 1.         0.75       1.         0.5       ]","[0.83333333 1.         0.08333333 0.33333333 0.6        0.
 0.55555556 0.6        0.125      0.72727273]"
24,5.0,21.0,120.0,0.52,"[1.         0.25641026 0.66666667 0.3        0.77777778 0.
 1.         0.75       1.         0.53333333]","[0.83333333 1.         0.16666667 0.33333333 0.7        0.
 0.55555556 0.6        0.125      0.72727273]"
25,5.0,21.0,125.0,0.52,"[1.         0.25641026 1.         0.3        0.77777778 0.
 1.         0.75       1.         0.5       ]","[0.83333333 1.         0.16666667 0.33333333 0.7        0.
 0.55555556 0.6        0.125      0.72727273]"
26,5.0,21.0,130.0,0.48,"[1.         0.25       0.5        0.2        0.77777778 0.
 1.         0.71428571 1.         0.4375    ]","[0.83333333 1.         0.08333333 0.22222222 0.7        0.
 0.55555556 0.5        0.125      0.63636364]"
27,5.0,21.0,135.0,0.48,"[1.         0.23255814 0.5        0.22222222 0.875      0.
 1.         0.8        1.         0.46666667]","[0.83333333 1.         0.16666667 0.22222222 0.7        0.
 0.55555556 0.4        0.125      0.63636364]"
28,5.0,21.0,140.0,0.47,"[1.         0.23255814 0.5        0.25       0.875      0.
 0.71428571 0.8        1.         0.46666667]","[0.75       1.         0.16666667 0.22222222 0.7        0.
 0.55555556 0.4        0.125      0.63636364]"
29,5.0,21.0,145.0,0.43,"[1.         0.22727273 0.4        0.25       0.85714286 0.
 0.6        0.75       1.         0.41176471]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.33333333 0.3        0.125      0.63636364]"
30,5.0,21.0,150.0,0.43,"[1.         0.22222222 0.5        0.25       0.85714286 0.
 0.66666667 0.66666667 1.         0.41176471]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.44444444 0.2        0.125      0.63636364]"
31,5.0,21.0,155.0,0.42,"[1.         0.22222222 0.5        0.22222222 0.85714286 0.
 0.75       0.66666667 1.         0.41176471]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.33333333 0.2        0.125      0.63636364]"
32,5.0,21.0,160.0,0.42,"[1.         0.20833333 0.66666667 0.33333333 0.75       0.
 0.75       0.66666667 1.         0.41176471]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.33333333 0.2        0.125      0.63636364]"
33,5.0,21.0,165.0,0.42,"[1.         0.20833333 0.66666667 0.33333333 0.75       0.
 0.75       0.66666667 1.         0.41176471]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.33333333 0.2        0.125      0.63636364]"
34,5.0,21.0,170.0,0.4,"[1.         0.20408163 0.5        0.33333333 0.75       0.
 0.75       1.         0.         0.35294118]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.33333333 0.2        0.         0.54545455]"
35,5.0,21.0,175.0,0.38,"[1.         0.2        0.5        0.33333333 0.75       0.
 0.66666667 1.         0.         0.33333333]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.22222222 0.1        0.         0.54545455]"
36,5.0,21.0,180.0,0.37,"[1.         0.19607843 0.66666667 0.33333333 0.71428571 0.
 0.66666667 1.         0.         0.31578947]","[0.75       1.         0.16666667 0.22222222 0.5        0.
 0.22222222 0.1        0.         0.54545455]"
37,5.0,21.0,185.0,0.37,"[1.         0.19607843 0.66666667 0.33333333 0.625      0.
 0.66666667 1.         0.         0.33333333]","[0.75       1.         0.16666667 0.22222222 0.5        0.
 0.22222222 0.1        0.         0.54545455]"
38,5.0,21.0,190.0,0.37,"[1.         0.19607843 0.66666667 0.33333333 0.625      0.
 0.66666667 1.         0.         0.33333333]","[0.75       1.         0.16666667 0.22222222 0.5        0.
 0.22222222 0.1        0.         0.54545455]"
39,5.0,21.0,195.0,0.36,"[1.         0.2        0.5        0.33333333 0.71428571 0.
 0.66666667 0.         0.         0.3       ]","[0.75       1.         0.16666667 0.22222222 0.5        0.
 0.22222222 0.         0.         0.54545455]"
40,5.0,21.0,200.0,0.36,"[1.         0.2        0.5        0.33333333 0.625      0.
 0.66666667 0.         0.         0.31578947]","[0.75       1.         0.16666667 0.22222222 0.5        0.
 0.22222222 0.         0.         0.54545455]"
41,5.0,21.0,205.0,0.35,"[1.         0.2        0.4        0.33333333 0.66666667 0.
 0.66666667 0.         0.         0.3       ]","[0.75       1.         0.16666667 0.22222222 0.4        0.
 0.22222222 0.         0.         0.54545455]"
42,5.0,21.0,210.0,0.35,"[1.         0.2        0.4        0.33333333 0.66666667 0.
 0.66666667 0.         0.         0.3       ]","[0.75       1.         0.16666667 0.22222222 0.4        0.
 0.22222222 0.         0.         0.54545455]"
43,5.0,21.0,215.0,0.35,"[1.         0.19607843 0.33333333 0.4        0.625      0.
 0.5        0.         0.         0.33333333]","[0.75       1.         0.16666667 0.22222222 0.5        0.
 0.11111111 0.         0.         0.54545455]"
44,5.0,21.0,220.0,0.34,"[1.         0.19230769 0.33333333 0.4        0.66666667 0.
 0.         0.         0.         0.29411765]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.         0.         0.         0.45454545]"
45,5.0,21.0,225.0,0.34,"[1.         0.18867925 0.33333333 0.4        0.66666667 0.
 0.         0.         0.         0.29411765]","[0.75       1.         0.16666667 0.22222222 0.6        0.
 0.         0.         0.         0.45454545]"
46,5.0,21.0,230.0,0.32,"[1.         0.18518519 0.33333333 0.2        0.75       0.
 0.         0.         0.         0.29411765]","[0.66666667 1.         0.16666667 0.11111111 0.6        0.
 0.         0.         0.         0.45454545]"
47,5.0,21.0,235.0,0.32,"[1.         0.18181818 0.33333333 0.2        0.85714286 0.
 0.         0.         0.         0.29411765]","[0.66666667 1.         0.16666667 0.11111111 0.6        0.
 0.         0.         0.         0.45454545]"
48,5.0,21.0,240.0,0.32,"[1.         0.17857143 0.4        0.2        0.66666667 0.
 0.         0.         0.         0.3125    ]","[0.66666667 1.         0.16666667 0.11111111 0.6        0.
 0.         0.         0.         0.45454545]"
49,5.0,21.0,245.0,0.31,"[1.         0.17857143 0.33333333 0.         0.66666667 0.
 0.         0.         0.         0.29411765]","[0.66666667 1.         0.16666667 0.         0.6        0.
 0.         0.         0.         0.45454545]"
50,5.0,21.0,250.0,0.31,"[1.         0.1754386  0.25       0.         0.66666667 0.
 0.         0.         0.         0.33333333]","[0.66666667 1.         0.16666667 0.         0.6        0.
 0.         0.         0.         0.45454545]"
51,5.0,21.0,255.0,0.28,"[1.         0.17241379 0.22222222 0.         0.6        0.
 0.         0.         0.         0.21428571]","[0.58333333 1.         0.16666667 0.         0.6        0.
 0.         0.         0.         0.27272727]"
52,5.0,21.0,260.0,0.28,"[1.         0.17857143 0.23076923 0.         0.6        0.
 0.         0.         0.         0.27272727]","[0.5        1.         0.25       0.         0.6        0.
 0.         0.         0.         0.27272727]"
53,5.0,21.0,265.0,0.28,"[1.         0.17857143 0.21428571 0.         0.6        0.
 0.         0.         0.         0.3       ]","[0.5        1.         0.25       0.         0.6        0.
 0.         0.         0.         0.27272727]"
54,5.0,21.0,270.0,0.28,"[1.         0.18181818 0.21428571 0.         0.6        0.
 0.         0.         0.         0.27272727]","[0.5        1.         0.25       0.         0.6        0.
 0.         0.         0.         0.27272727]"
55,5.0,21.0,275.0,0.28,"[1.         0.1754386  0.23076923 0.         0.6        0.
 0.         0.         0.         0.25      ]","[0.5        1.         0.25       0.         0.6        0.
 0.         0.         0.         0.27272727]"
56,5.0,21.0,280.0,0.3,"[1.         0.18181818 0.3125     0.         0.66666667 0.
 0.         0.         0.         0.27272727]","[0.5        1.         0.41666667 0.         0.6        0.
 0.         0.         0.         0.27272727]"
57,5.0,21.0,285.0,0.3,"[1.         0.18181818 0.26315789 0.         0.6        0.
 0.         0.         0.         0.3       ]","[0.5        1.         0.41666667 0.         0.6        0.
 0.         0.         0.         0.27272727]"
58,5.0,21.0,290.0,0.32,"[1.         0.19607843 0.26086957 0.         0.6        0.
 0.         0.         0.         0.4       ]","[0.5        1.         0.5        0.         0.6        0.
 0.         0.         0.         0.36363636]"
59,5.0,21.0,295.0,0.32,"[1.         0.20833333 0.23076923 0.         0.6        0.
 0.         0.         0.         0.33333333]","[0.58333333 1.         0.5        0.         0.6        0.
 0.         0.         0.         0.27272727]"
60,5.0,21.0,300.0,0.3,"[1.         0.19565217 0.2        0.         0.55555556 0.
 0.         0.         0.         0.42857143]","[0.58333333 0.9        0.5        0.         0.5        0.
 0.         0.         0.         0.27272727]"
61,5.0,21.0,305.0,0.26,"[1.         0.11111111 0.17948718 0.         0.55555556 0.
 0.         0.         0.         0.375     ]","[0.58333333 0.4        0.58333333 0.         0.5        0.
 0.         0.         0.         0.27272727]"
62,5.0,21.0,310.0,0.22,"[1.         0.         0.15909091 0.         0.625      0.
 0.         0.         0.         0.33333333]","[0.58333333 0.         0.58333333 0.         0.5        0.
 0.         0.         0.         0.27272727]"
63,5.0,21.0,315.0,0.22,"[1.         0.         0.15555556 0.         0.55555556 0.
 0.         0.         0.         0.3       ]","[0.58333333 0.         0.58333333 0.         0.5        0.
 0.         0.         0.         0.27272727]"
64,5.0,21.0,320.0,0.23,"[1.         0.         0.14285714 0.         0.54545455 0.
 0.         0.         0.         0.42857143]","[0.58333333 0.         0.58333333 0.         0.6        0.
 0.         0.         0.         0.27272727]"
65,5.0,21.0,325.0,0.23,"[1.         0.         0.14814815 0.         0.5        0.
 0.         0.         0.         0.42857143]","[0.58333333 0.         0.66666667 0.         0.5        0.
 0.         0.         0.         0.27272727]"
66,5.0,21.0,330.0,0.24,"[1.         0.         0.16949153 0.         0.5        0.
 0.         0.         0.         0.4       ]","[0.58333333 0.         0.83333333 0.         0.5        0.
 0.         0.         0.         0.18181818]"
67,5.0,21.0,335.0,0.25,"[1.         0.         0.15151515 0.         0.66666667 0.
 0.         0.         0.         0.4       ]","[0.58333333 0.         0.83333333 0.         0.6        0.
 0.         0.         0.         0.18181818]"
68,5.0,21.0,340.0,0.22,"[1.         0.         0.13333333 0.         0.57142857 0.
 0.         0.         0.         0.25      ]","[0.58333333 0.         0.83333333 0.         0.4        0.
 0.         0.         0.         0.09090909]"
69,5.0,21.0,345.0,0.22,"[1.         0.         0.14102564 0.         0.57142857 0.
 0.         0.         0.         0.        ]","[0.58333333 0.         0.91666667 0.         0.4        0.
 0.         0.         0.         0.        ]"
70,5.0,21.0,350.0,0.21,"[0.85714286 0.         0.12941176 0.         0.57142857 0.
 0.         0.         0.         0.        ]","[0.5        0.         0.91666667 0.         0.4        0.
 0.         0.         0.         0.        ]"
71,5.0,21.0,355.0,0.2,"[0.85714286 0.         0.12643678 0.         0.6        0.
 0.         0.         0.         0.        ]","[0.5        0.         0.91666667 0.         0.3        0.
 0.         0.         0.         0.        ]"
72,5.0,21.0,360.0,0.17,"[0.8        0.         0.12222222 0.         0.5        0.
 0.         0.         0.         0.        ]","[0.33333333 0.         0.91666667 0.         0.2        0.
 0.         0.         0.         0.        ]"
73,5.0,21.0,365.0,0.16,"[1.         0.         0.11956522 0.         0.5        0.
 0.         0.         0.         0.        ]","[0.25       0.         0.91666667 0.         0.2        0.
 0.         0.         0.         0.        ]"
74,5.0,21.0,370.0,0.16,"[1.         0.         0.11827957 0.         0.5        0.
 0.         0.         0.         0.        ]","[0.25       0.         0.91666667 0.         0.2        0.
 0.         0.         0.         0.        ]"
75,5.0,21.0,375.0,0.15,"[1.         0.         0.11578947 0.         0.5        0.
 0.         0.         0.         0.        ]","[0.25       0.         0.91666667 0.         0.1        0.
 0.         0.         0.         0.        ]"
76,5.0,21.0,380.0,0.12,"[1.        0.        0.1122449 0.        0.        0.        0.
 0.        0.        0.       ]","[0.08333333 0.         0.91666667 0.         0.         0.
 0.         0.         0.         0.        ]"
77,5.0,21.0,385.0,0.13,"[1.         0.         0.12121212 0.         0.         0.
 0.         0.         0.         0.        ]","[0.08333333 0.         1.         0.         0.         0.
 0.         0.         0.         0.        ]"
78,5.0,21.0,390.0,0.12,[0.   0.   0.12 0.   0.   0.   0.   0.   0.   0.  ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
79,5.0,21.0,395.0,0.12,[0.   0.   0.12 0.   0.   0.   0.   0.   0.   0.  ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
80,5.0,21.0,1.0,0.77,"[1.         0.66666667 0.78571429 0.54545455 1.         0.625
 0.85714286 0.72727273 0.5        0.875     ]","[1.         1.         0.84615385 0.66666667 1.         0.55555556
 0.66666667 0.8        0.25       0.7       ]"
81,5.0,21.0,5.0,0.72,"[0.91666667 0.52631579 0.7        0.55555556 0.90909091 0.75
 1.         0.61538462 0.75       0.77777778]","[1.         1.         0.53846154 0.55555556 0.90909091 0.66666667
 0.55555556 0.8        0.375      0.7       ]"
82,5.0,21.0,10.0,0.69,"[1.         0.5        0.77777778 0.83333333 0.75       0.57142857
 1.         0.72727273 0.5        0.53333333]","[1.         1.         0.53846154 0.55555556 0.81818182 0.44444444
 0.55555556 0.8        0.25       0.8       ]"
83,5.0,21.0,15.0,0.68,"[1.         0.45454545 0.75       0.66666667 0.81818182 0.66666667
 0.83333333 0.72727273 0.75       0.53333333]","[1.         1.         0.46153846 0.44444444 0.81818182 0.44444444
 0.55555556 0.8        0.375      0.8       ]"
84,5.0,21.0,20.0,0.66,"[1.         0.43478261 0.85714286 0.625      0.64285714 0.66666667
 1.         0.88888889 0.66666667 0.5       ]","[1.         1.         0.46153846 0.55555556 0.81818182 0.22222222
 0.44444444 0.8        0.25       0.9       ]"
85,5.0,21.0,25.0,0.66,"[1.         0.43478261 0.875      0.57142857 0.64285714 1.
 1.         0.88888889 0.5        0.5       ]","[1.         1.         0.53846154 0.44444444 0.81818182 0.22222222
 0.44444444 0.8        0.25       0.9       ]"
86,5.0,21.0,30.0,0.6,"[1.         0.38461538 0.83333333 0.33333333 0.61538462 0.66666667
 0.75       0.88888889 1.         0.45      ]","[1.         1.         0.38461538 0.22222222 0.72727273 0.22222222
 0.33333333 0.8        0.25       0.9       ]"
87,5.0,21.0,35.0,0.61,"[1.         0.38461538 0.85714286 0.4        0.61538462 1.
 0.75       0.88888889 1.         0.42857143]","[1.         1.         0.46153846 0.22222222 0.72727273 0.22222222
 0.33333333 0.8        0.25       0.9       ]"
88,5.0,21.0,40.0,0.61,"[1.         0.37037037 0.85714286 0.5        0.61538462 1.
 1.         0.88888889 1.         0.42857143]","[0.90909091 1.         0.46153846 0.33333333 0.72727273 0.22222222
 0.33333333 0.8        0.25       0.9       ]"
89,5.0,21.0,45.0,0.61,"[1.         0.37037037 0.85714286 0.5        0.61538462 0.66666667
 1.         0.88888889 1.         0.45      ]","[0.90909091 1.         0.46153846 0.33333333 0.72727273 0.22222222
 0.33333333 0.8        0.25       0.9       ]"
90,5.0,21.0,50.0,0.6,"[1.         0.33333333 0.85714286 0.4        0.61538462 1.
 0.75       0.88888889 1.         0.5       ]","[0.90909091 1.         0.46153846 0.22222222 0.72727273 0.22222222
 0.33333333 0.8        0.25       0.9       ]"
91,5.0,21.0,55.0,0.58,"[1.         0.3125     0.8        0.5        0.61538462 1.
 1.         0.88888889 0.66666667 0.47058824]","[0.90909091 1.         0.30769231 0.33333333 0.72727273 0.22222222
 0.33333333 0.8        0.25       0.8       ]"
92,5.0,21.0,60.0,0.55,"[1.         0.28571429 1.         0.5        0.58333333 1.
 1.         0.875      0.5        0.44444444]","[0.90909091 1.         0.30769231 0.33333333 0.63636364 0.22222222
 0.33333333 0.7        0.125      0.8       ]"
93,5.0,21.0,65.0,0.52,"[1.         0.28571429 1.         0.28571429 0.58333333 0.
 1.         0.875      0.33333333 0.44444444]","[0.90909091 1.         0.30769231 0.22222222 0.63636364 0.
 0.33333333 0.7        0.125      0.8       ]"
94,5.0,21.0,70.0,0.52,"[1.         0.28571429 1.         0.33333333 0.58333333 0.
 1.         0.875      0.5        0.44444444]","[0.90909091 1.         0.23076923 0.33333333 0.63636364 0.
 0.33333333 0.7        0.125      0.8       ]"
95,5.0,21.0,75.0,0.51,"[1.         0.27777778 1.         0.375      0.58333333 0.
 1.         0.875      0.         0.42105263]","[0.90909091 1.         0.23076923 0.33333333 0.63636364 0.
 0.33333333 0.7        0.         0.8       ]"
96,5.0,21.0,80.0,0.5,"[1.         0.27027027 1.         0.375      0.58333333 0.
 1.         0.875      0.         0.38888889]","[0.90909091 1.         0.23076923 0.33333333 0.63636364 0.
 0.33333333 0.7        0.         0.7       ]"
97,5.0,21.0,85.0,0.49,"[1.         0.26315789 1.         0.375      0.58333333 0.
 1.         0.875      0.         0.38888889]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.33333333 0.7        0.         0.7       ]"
98,5.0,21.0,90.0,0.47,"[1.         0.25641026 1.         0.5        0.58333333 0.
 1.         0.66666667 0.         0.38888889]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.6        0.         0.7       ]"
99,5.0,21.0,95.0,0.46,"[1.         0.25641026 1.         0.5        0.58333333 0.
 1.         0.625      0.         0.36842105]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.5        0.         0.7       ]"
100,5.0,21.0,100.0,0.45,"[1.         0.24390244 1.         0.5        0.58333333 0.
 1.         0.8        0.         0.35      ]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.4        0.         0.7       ]"
101,5.0,21.0,105.0,0.45,"[1.         0.25       1.         0.5        0.58333333 0.
 1.         0.8        0.         0.33333333]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.4        0.         0.7       ]"
102,5.0,21.0,110.0,0.45,"[1.         0.24390244 1.         0.5        0.58333333 0.
 1.         0.8        0.         0.35      ]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.4        0.         0.7       ]"
103,5.0,21.0,115.0,0.45,"[1.         0.23809524 1.         0.5        0.58333333 0.
 1.         0.8        0.         0.36842105]","[0.90909091 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.4        0.         0.7       ]"
104,5.0,21.0,120.0,0.41,"[1.         0.2173913  0.66666667 0.5        0.58333333 0.
 1.         0.75       0.         0.38888889]","[0.63636364 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.3        0.         0.7       ]"
105,5.0,21.0,125.0,0.44,"[1.         0.22222222 0.66666667 0.5        0.63636364 0.
 1.         0.75       0.5        0.42105263]","[0.72727273 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.3        0.125      0.8       ]"
106,5.0,21.0,130.0,0.41,"[1.         0.20833333 0.66666667 0.6        0.6        0.
 1.         0.75       0.         0.4       ]","[0.63636364 1.         0.15384615 0.33333333 0.54545455 0.
 0.22222222 0.3        0.         0.8       ]"
107,5.0,21.0,135.0,0.43,"[1.         0.2173913  0.66666667 0.6        0.63636364 0.
 1.         0.75       0.         0.4       ]","[0.72727273 1.         0.15384615 0.33333333 0.63636364 0.
 0.22222222 0.3        0.         0.8       ]"
108,5.0,21.0,140.0,0.42,"[1.         0.2173913  0.66666667 0.66666667 0.7        0.
 1.         0.75       0.         0.34782609]","[0.72727273 1.         0.15384615 0.22222222 0.63636364 0.
 0.22222222 0.3        0.         0.8       ]"
109,5.0,21.0,145.0,0.42,"[1.         0.2173913  0.66666667 0.5        0.7        0.
 1.         0.75       0.         0.34782609]","[0.72727273 1.         0.15384615 0.22222222 0.63636364 0.
 0.22222222 0.3        0.         0.8       ]"
110,5.0,21.0,150.0,0.41,"[1.         0.20833333 0.66666667 0.66666667 0.7        0.
 1.         0.75       0.         0.31818182]","[0.72727273 1.         0.15384615 0.22222222 0.63636364 0.
 0.22222222 0.3        0.         0.7       ]"
111,5.0,21.0,155.0,0.39,"[1.         0.2        0.75       0.5        0.7        0.
 1.         0.66666667 0.         0.31818182]","[0.72727273 1.         0.23076923 0.11111111 0.63636364 0.
 0.11111111 0.2        0.         0.7       ]"
112,5.0,21.0,160.0,0.39,"[1.         0.2        0.66666667 0.66666667 0.77777778 0.
 1.         0.5        0.         0.31818182]","[0.72727273 1.         0.15384615 0.22222222 0.63636364 0.
 0.11111111 0.2        0.         0.7       ]"
113,5.0,21.0,165.0,0.39,"[1.         0.19607843 0.75       0.5        0.75       0.
 1.         0.66666667 0.         0.33333333]","[0.72727273 1.         0.23076923 0.22222222 0.54545455 0.
 0.11111111 0.2        0.         0.7       ]"
114,5.0,21.0,170.0,0.38,"[1.         0.18867925 0.66666667 0.5        0.77777778 0.
 1.         0.66666667 0.         0.31578947]","[0.72727273 1.         0.15384615 0.22222222 0.63636364 0.
 0.11111111 0.2        0.         0.6       ]"
115,5.0,21.0,175.0,0.37,"[1.         0.18518519 0.66666667 0.5        0.77777778 0.
 1.         0.5        0.         0.35      ]","[0.63636364 1.         0.15384615 0.22222222 0.63636364 0.
 0.11111111 0.1        0.         0.7       ]"
116,5.0,21.0,180.0,0.35,"[1.         0.18181818 0.66666667 0.66666667 0.75       0.
 0.         0.5        0.         0.31818182]","[0.63636364 1.         0.15384615 0.22222222 0.54545455 0.
 0.         0.1        0.         0.7       ]"
117,5.0,21.0,185.0,0.35,"[1.         0.1754386  0.66666667 1.         0.75       0.
 0.         0.33333333 0.         0.35      ]","[0.63636364 1.         0.15384615 0.22222222 0.54545455 0.
 0.         0.1        0.         0.7       ]"
118,5.0,21.0,190.0,0.33,"[1.         0.17241379 0.66666667 1.         0.71428571 0.
 0.         0.33333333 0.         0.33333333]","[0.63636364 1.         0.15384615 0.11111111 0.45454545 0.
 0.         0.1        0.         0.7       ]"
119,5.0,21.0,195.0,0.34,"[1.         0.16949153 1.         1.         0.66666667 0.
 0.         0.33333333 0.         0.36842105]","[0.63636364 1.         0.15384615 0.11111111 0.54545455 0.
 0.         0.1        0.         0.7       ]"
120,5.0,21.0,200.0,0.34,"[1.         0.16949153 0.66666667 0.5        0.75       0.
 0.         0.33333333 0.         0.38888889]","[0.63636364 1.         0.15384615 0.11111111 0.54545455 0.
 0.         0.1        0.         0.7       ]"
