,K,alpha,k,accuracy,precision,recall,n
0,5.0,20.0,1.0,0.1,0.0125,0.125,50.0
1,5.0,20.0,2.0,0.1,0.0125,0.125,50.0
2,5.0,20.0,3.0,0.1,0.0125,0.125,50.0
3,5.0,20.0,4.0,0.1,0.0125,0.125,50.0
4,5.0,20.0,5.0,0.1,0.0125,0.125,50.0
5,5.0,20.0,6.0,0.1,0.0125,0.125,50.0
6,5.0,20.0,7.0,0.2,0.025,0.125,50.0
7,5.0,20.0,8.0,0.1,0.0125,0.125,50.0
8,5.0,20.0,9.0,0.1,0.0125,0.125,50.0
9,5.0,20.0,10.0,0.1,0.0125,0.125,50.0
10,5.0,20.0,11.0,0.1,0.0125,0.125,50.0
11,5.0,20.0,12.0,0.1,0.0125,0.125,50.0
12,5.0,20.0,13.0,0.1,0.0125,0.125,50.0
13,5.0,20.0,14.0,0.2,0.025,0.125,50.0
14,5.0,20.0,15.0,0.1,0.0125,0.125,50.0
15,5.0,20.0,16.0,0.2,0.025,0.125,50.0
16,5.0,20.0,17.0,0.2,0.025,0.125,50.0
17,5.0,20.0,18.0,0.2,0.025,0.125,50.0
18,5.0,20.0,19.0,0.2,0.025,0.125,50.0
19,5.0,20.0,20.0,0.2,0.025,0.125,50.0
20,5.0,20.0,21.0,0.2,0.025,0.125,50.0
21,5.0,20.0,22.0,0.2,0.025,0.125,50.0
22,5.0,20.0,23.0,0.2,0.025,0.125,50.0
23,5.0,20.0,24.0,0.2,0.025,0.125,50.0
24,5.0,20.0,25.0,0.2,0.025,0.125,50.0
25,5.0,20.0,50.0,0.2,0.025,0.125,50.0
26,5.0,20.0,1.0,0.1,0.0125,0.125,50.0
27,5.0,20.0,2.0,0.1,0.0125,0.125,50.0
28,5.0,20.0,3.0,0.1,0.0125,0.125,50.0
29,5.0,20.0,4.0,0.1,0.0125,0.125,50.0
30,5.0,20.0,5.0,0.1,0.0125,0.125,50.0
31,5.0,20.0,6.0,0.1,0.0125,0.125,50.0
32,5.0,20.0,7.0,0.1,0.0125,0.125,50.0
33,5.0,20.0,8.0,0.1,0.0125,0.125,50.0
34,5.0,20.0,9.0,0.1,0.0125,0.125,50.0
35,5.0,20.0,10.0,0.1,0.0125,0.125,50.0
36,5.0,20.0,11.0,0.1,0.0125,0.125,50.0
37,5.0,20.0,12.0,0.1,0.0125,0.125,50.0
38,5.0,20.0,13.0,0.1,0.0125,0.125,50.0
39,5.0,20.0,14.0,0.1,0.0125,0.125,50.0
40,5.0,20.0,15.0,0.1,0.0125,0.125,50.0
41,5.0,20.0,16.0,0.1,0.0125,0.125,50.0
42,5.0,20.0,17.0,0.1,0.0125,0.125,50.0
43,5.0,20.0,18.0,0.1,0.0125,0.125,50.0
44,5.0,20.0,19.0,0.1,0.0125,0.125,50.0
45,5.0,20.0,20.0,0.1,0.0125,0.125,50.0
46,5.0,20.0,21.0,0.1,0.0125,0.125,50.0
47,5.0,20.0,22.0,0.1,0.0125,0.125,50.0
48,5.0,20.0,23.0,0.1,0.0125,0.125,50.0
49,5.0,20.0,24.0,0.1,0.0125,0.125,50.0
50,5.0,20.0,25.0,0.1,0.0125,0.125,50.0
51,5.0,20.0,50.0,0.2,0.025,0.125,50.0
