,Epsilon,Guarda,Tiempo,Iteraciones,Diferencia
1558,1e-08,eigen_value,1587475073.0,16815.0,2.0512877396683393e-10
1559,1e-09,eigen_value,1677197560.0,17728.0,2.4050679225950945e-10
1560,1.0,vector_delta,307481395.0,4541.0,17745.902282292147
1561,0.1,vector_delta,308590704.0,4375.0,3332.6754965573796
1562,0.01,vector_delta,158977415.0,2371.0,412.5024288004346
1563,0.001,vector_delta,206028650.0,2946.0,0.8866883569282894
1564,0.0001,vector_delta,293661771.0,4497.0,0.008470422442091917
1565,1e-05,vector_delta,397210943.0,6086.0,8.43615837199252e-05
1566,1e-06,vector_delta,489112111.0,7567.0,8.44821207941493e-07
1567,1e-07,vector_delta,599198979.0,9236.0,8.328655844991317e-09
1568,1e-08,vector_delta,685990278.0,10766.0,1.6699974736411605e-10
1569,1e-09,vector_delta,810037582.0,12475.0,1.7808233110372385e-10
1570,1.0,eigen_value,505130850.0,5343.0,0.0012737890155763054
1571,0.1,eigen_value,649878237.0,6818.0,1.4585782135299042e-05
1572,0.01,eigen_value,783994704.0,8362.0,2.622320483069984e-07
1573,0.001,eigen_value,948270070.0,9969.0,1.3402727105926714e-09
1574,0.0001,eigen_value,1155365877.0,11539.0,2.0121699861874732e-10
1575,1e-05,eigen_value,1300655700.0,13322.0,1.7746039304711304e-10
1576,1e-06,eigen_value,1351008232.0,14589.0,1.9631091419114455e-10
1577,1e-07,eigen_value,1464887006.0,15646.0,1.6199546593043123e-10
1578,1e-08,eigen_value,1590864209.0,16910.0,1.809820560083608e-10
1579,1e-09,eigen_value,1700567071.0,17991.0,1.7962243248348387e-10
1580,1.0,vector_delta,367378498.0,5617.0,16250.41792364893
1581,0.1,vector_delta,374166690.0,5402.0,3306.3678521364277
1582,0.01,vector_delta,157195018.0,2280.0,33.96537342183661
1583,0.001,vector_delta,163843603.0,2410.0,0.36121112587955645
1584,0.0001,vector_delta,253443052.0,3846.0,0.0033653043357846535
1585,1e-05,vector_delta,352747565.0,5330.0,3.1567505941545445e-05
1586,1e-06,vector_delta,451452368.0,6911.0,3.2110993501532904e-07
1587,1e-07,vector_delta,546942839.0,8413.0,3.2407594119376883e-09
1588,1e-08,vector_delta,637537213.0,9767.0,2.1245874393116537e-10
1589,1e-09,vector_delta,721359361.0,11174.0,2.2921517128793311e-10
1590,1.0,eigen_value,441512989.0,4668.0,0.0027812562531219953
1591,0.1,eigen_value,589504557.0,6255.0,9.282052029568888e-06
1592,0.01,eigen_value,736799703.0,7725.0,1.0353885331326751e-07
1593,0.001,eigen_value,858067731.0,9171.0,4.122648693538622e-09
1594,0.0001,eigen_value,985551933.0,10600.0,2.0644472797926028e-10
1595,1e-05,eigen_value,1120950648.0,11855.0,4.235808095387484e-09
1596,1e-06,eigen_value,1376812006.0,13234.0,1.8236542942418055e-10
1597,1e-07,eigen_value,1403772071.0,14545.0,3.776279555722795e-10
1598,1e-08,eigen_value,1492552097.0,15539.0,2.0209887097166757e-10
1599,1e-09,eigen_value,1581742998.0,16830.0,1.8825593528504214e-10
1600,1.0,vector_delta,360250488.0,5532.0,17272.911963451326
1601,0.1,vector_delta,355415366.0,5415.0,2788.6776461925638
1602,0.01,vector_delta,154754181.0,2223.0,125.53540827689396
1603,0.001,vector_delta,164321844.0,2415.0,0.532304444453645
1604,0.0001,vector_delta,241322066.0,3600.0,0.005059957935036916
1605,1e-05,vector_delta,330025058.0,5036.0,5.0859999034678086e-05
1606,1e-06,vector_delta,414137697.0,6414.0,5.164004562629998e-07
1607,1e-07,vector_delta,518047828.0,7930.0,5.259333679674682e-09
1608,1e-08,vector_delta,595317984.0,9244.0,2.641852603346706e-10
1609,1e-09,vector_delta,682055968.0,10660.0,2.4072527082807937e-10
1610,1.0,eigen_value,432593568.0,4530.0,0.0035188362389494366
1611,0.1,eigen_value,561676567.0,5872.0,2.936185614126785e-05
1612,0.01,eigen_value,698175141.0,7263.0,1.1459846223971226e-07
1613,0.001,eigen_value,830863568.0,8780.0,1.978550692172121e-09
1614,0.0001,eigen_value,956943492.0,10052.0,1.1389429133146222e-09
1615,1e-05,eigen_value,1042480695.0,11229.0,2.7642254707416214e-10
1616,1e-06,eigen_value,1167750209.0,12448.0,2.5822679106113357e-10
1617,1e-07,eigen_value,1324791795.0,13718.0,2.4020087252552004e-10
1618,1e-08,eigen_value,1427471525.0,14827.0,2.567158752242449e-10
1619,1e-09,eigen_value,1545802316.0,15967.0,2.5983462492717993e-10
1620,1.0,vector_delta,386656247.0,5772.0,20025.42809541769
1621,0.1,vector_delta,404450900.0,5427.0,2752.2354135093337
1622,0.01,vector_delta,164157541.0,2294.0,149.4458585152236
1623,0.001,vector_delta,261929949.0,3660.0,0.5084766827714958
1624,0.0001,vector_delta,273777430.0,3781.0,0.004448861072397145
1625,1e-05,vector_delta,380515517.0,5188.0,4.377859715197474e-05
1626,1e-06,vector_delta,479737931.0,6728.0,4.336406343088614e-07
1627,1e-07,vector_delta,587444897.0,8274.0,4.471792630668381e-09
1628,1e-08,vector_delta,678576427.0,9540.0,9.742774656484876e-11
1629,1e-09,vector_delta,720727062.0,10937.0,8.528359912371442e-11
1630,1.0,eigen_value,528957802.0,4722.0,0.0013561212407653014
1631,0.1,eigen_value,670405404.0,6065.0,0.00010120128577977897
1632,0.01,eigen_value,752594094.0,7468.0,9.167449864870093e-05
1633,0.001,eigen_value,869491288.0,8844.0,1.0026084666485414e-09
1634,0.0001,eigen_value,1007693776.0,10411.0,1.3482739572370783e-10
1635,1e-05,eigen_value,1163178704.0,11893.0,8.561199478507309e-11
1636,1e-06,eigen_value,1293106700.0,13305.0,8.498094750467033e-11
1637,1e-07,eigen_value,1399058421.0,14609.0,8.669992664772641e-11
