,K,alpha,k,accuracy,precision,recall,n,norm
525,5.0,20.0,5.0,0.3,0.2719047619047619,0.2966666666666667,200.0,6.0
526,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,6.0
527,5.0,20.0,5.0,0.4,0.45,0.37666666666666665,200.0,6.0
528,5.0,20.0,5.0,0.425,0.3704761904761905,0.4066666666666666,200.0,6.0
529,5.0,20.0,5.0,0.425,0.39386363636363636,0.40499999999999997,200.0,6.0
530,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,7.0
531,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,7.0
532,5.0,20.0,5.0,0.45,0.4966666666666667,0.4216666666666667,200.0,7.0
533,5.0,20.0,5.0,0.4,0.3008333333333334,0.38166666666666665,200.0,7.0
534,5.0,20.0,5.0,0.375,0.39362637362637365,0.355,200.0,7.0
535,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,8.0
536,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,8.0
537,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,200.0,8.0
538,5.0,20.0,5.0,0.375,0.2786111111111111,0.35666666666666663,200.0,8.0
539,5.0,20.0,5.0,0.35,0.37916666666666665,0.335,200.0,8.0
540,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,9.0
541,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,9.0
542,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,200.0,9.0
543,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,200.0,9.0
544,5.0,20.0,5.0,0.325,0.275,0.31,200.0,9.0
545,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,10.0
546,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,10.0
547,5.0,20.0,5.0,0.45,0.4366666666666667,0.4133333333333334,200.0,10.0
548,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,200.0,10.0
549,5.0,20.0,5.0,0.325,0.275,0.31,200.0,10.0
550,5.0,20.0,5.0,0.6666666666666666,0.6541239316239317,0.6375,300.0,1.0
551,5.0,20.0,5.0,0.5666666666666667,0.5903205128205127,0.5446428571428572,300.0,1.0
552,5.0,20.0,5.0,0.5166666666666667,0.49722222222222223,0.5059523809523809,300.0,1.0
553,5.0,20.0,5.0,0.55,0.6218633817163228,0.530952380952381,300.0,1.0
554,5.0,20.0,5.0,0.55,0.5612121212121213,0.5146428571428572,300.0,1.0
555,5.0,20.0,5.0,0.65,0.657558275058275,0.6208333333333333,300.0,2.0
556,5.0,20.0,5.0,0.6333333333333333,0.6480952380952381,0.6295238095238095,300.0,2.0
557,5.0,20.0,5.0,0.5333333333333333,0.47700577200577204,0.5092857142857142,300.0,2.0
558,5.0,20.0,5.0,0.5833333333333334,0.5951785714285714,0.567063492063492,300.0,2.0
559,5.0,20.0,5.0,0.48333333333333334,0.4128787878787879,0.4511904761904762,300.0,2.0
560,5.0,20.0,5.0,0.6166666666666667,0.6694444444444445,0.595,300.0,3.0
561,5.0,20.0,5.0,0.6333333333333333,0.6431962481962482,0.6211904761904762,300.0,3.0
562,5.0,20.0,5.0,0.5166666666666667,0.45690476190476187,0.4967857142857143,300.0,3.0
563,5.0,20.0,5.0,0.5833333333333334,0.601845238095238,0.5637301587301586,300.0,3.0
564,5.0,20.0,5.0,0.4666666666666667,0.41645021645021646,0.43690476190476185,300.0,3.0
565,5.0,20.0,5.0,0.6333333333333333,0.6765290265290265,0.6116666666666667,300.0,4.0
566,5.0,20.0,5.0,0.6333333333333333,0.6519841269841269,0.6211904761904762,300.0,4.0
567,5.0,20.0,5.0,0.48333333333333334,0.4152380952380953,0.4642857142857143,300.0,4.0
568,5.0,20.0,5.0,0.5833333333333334,0.6423809523809523,0.5637301587301586,300.0,4.0
569,5.0,20.0,5.0,0.4666666666666667,0.39357142857142857,0.4386904761904762,300.0,4.0
570,5.0,20.0,5.0,0.6,0.5965656565656565,0.5700000000000001,300.0,5.0
