,K,alpha,k,accuracy,precision,recall,n,norm
76,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,6.0
77,5.0,20.0,5.0,0.4,0.45,0.37666666666666665,200.0,6.0
78,5.0,20.0,5.0,0.425,0.3704761904761905,0.4066666666666666,200.0,6.0
79,5.0,20.0,5.0,0.425,0.39386363636363636,0.40499999999999997,200.0,6.0
80,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,7.0
81,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,7.0
82,5.0,20.0,5.0,0.45,0.4966666666666667,0.4216666666666667,200.0,7.0
83,5.0,20.0,5.0,0.4,0.3008333333333334,0.38166666666666665,200.0,7.0
84,5.0,20.0,5.0,0.375,0.39362637362637365,0.355,200.0,7.0
85,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,8.0
86,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,8.0
87,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,200.0,8.0
88,5.0,20.0,5.0,0.375,0.2786111111111111,0.35666666666666663,200.0,8.0
89,5.0,20.0,5.0,0.35,0.37916666666666665,0.335,200.0,8.0
90,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,9.0
91,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,9.0
92,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,200.0,9.0
93,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,200.0,9.0
94,5.0,20.0,5.0,0.325,0.275,0.31,200.0,9.0
95,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,10.0
96,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,10.0
97,5.0,20.0,5.0,0.45,0.4366666666666667,0.4133333333333334,200.0,10.0
98,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,200.0,10.0
99,5.0,20.0,5.0,0.325,0.275,0.31,200.0,10.0
100,5.0,20.0,5.0,0.6666666666666666,0.6541239316239317,0.6375,300.0,1.0
101,5.0,20.0,5.0,0.5666666666666667,0.5903205128205127,0.5446428571428572,300.0,1.0
102,5.0,20.0,5.0,0.5166666666666667,0.49722222222222223,0.5059523809523809,300.0,1.0
103,5.0,20.0,5.0,0.55,0.6218633817163228,0.530952380952381,300.0,1.0
104,5.0,20.0,5.0,0.55,0.5612121212121213,0.5146428571428572,300.0,1.0
105,5.0,20.0,5.0,0.65,0.657558275058275,0.6208333333333333,300.0,2.0
106,5.0,20.0,5.0,0.6333333333333333,0.6480952380952381,0.6295238095238095,300.0,2.0
107,5.0,20.0,5.0,0.5333333333333333,0.47700577200577204,0.5092857142857142,300.0,2.0
108,5.0,20.0,5.0,0.5833333333333334,0.5951785714285714,0.567063492063492,300.0,2.0
109,5.0,20.0,5.0,0.48333333333333334,0.4128787878787879,0.4511904761904762,300.0,2.0
110,5.0,20.0,5.0,0.6166666666666667,0.6694444444444445,0.595,300.0,3.0
111,5.0,20.0,5.0,0.6333333333333333,0.6431962481962482,0.6211904761904762,300.0,3.0
112,5.0,20.0,5.0,0.5166666666666667,0.45690476190476187,0.4967857142857143,300.0,3.0
113,5.0,20.0,5.0,0.5833333333333334,0.601845238095238,0.5637301587301586,300.0,3.0
114,5.0,20.0,5.0,0.4666666666666667,0.41645021645021646,0.43690476190476185,300.0,3.0
115,5.0,20.0,5.0,0.6333333333333333,0.6765290265290265,0.6116666666666667,300.0,4.0
116,5.0,20.0,5.0,0.6333333333333333,0.6519841269841269,0.6211904761904762,300.0,4.0
117,5.0,20.0,5.0,0.48333333333333334,0.4152380952380953,0.4642857142857143,300.0,4.0
118,5.0,20.0,5.0,0.5833333333333334,0.6423809523809523,0.5637301587301586,300.0,4.0
119,5.0,20.0,5.0,0.4666666666666667,0.39357142857142857,0.4386904761904762,300.0,4.0
120,5.0,20.0,5.0,0.6,0.5965656565656565,0.5700000000000001,300.0,5.0
121,5.0,20.0,5.0,0.6333333333333333,0.6644871794871794,0.6261904761904762,300.0,5.0
122,5.0,20.0,5.0,0.48333333333333334,0.41087301587301583,0.46845238095238095,300.0,5.0
123,5.0,20.0,5.0,0.6,0.669047619047619,0.578015873015873,300.0,5.0
124,5.0,20.0,5.0,0.45,0.3939393939393939,0.42202380952380947,300.0,5.0
125,5.0,20.0,5.0,0.5833333333333334,0.5860528360528361,0.545,300.0,6.0
126,5.0,20.0,5.0,0.6333333333333333,0.6644871794871794,0.6261904761904762,300.0,6.0
127,5.0,20.0,5.0,0.5,0.41801587301587306,0.4809523809523809,300.0,6.0
128,5.0,20.0,5.0,0.6,0.6657359307359306,0.578015873015873,300.0,6.0
129,5.0,20.0,5.0,0.43333333333333335,0.3812121212121212,0.40773809523809523,300.0,6.0
130,5.0,20.0,5.0,0.5666666666666667,0.4872252747252747,0.5283333333333333,300.0,7.0
131,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,300.0,7.0
132,5.0,20.0,5.0,0.48333333333333334,0.4069047619047619,0.46845238095238095,300.0,7.0
133,5.0,20.0,5.0,0.5833333333333334,0.6574025974025973,0.5669047619047618,300.0,7.0
134,5.0,20.0,5.0,0.43333333333333335,0.41,0.40773809523809523,300.0,7.0
135,5.0,20.0,5.0,0.55,0.47211538461538466,0.5116666666666667,300.0,8.0
136,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,300.0,8.0
137,5.0,20.0,5.0,0.48333333333333334,0.41166666666666674,0.46845238095238095,300.0,8.0
138,5.0,20.0,5.0,0.6,0.6769264069264068,0.5835714285714285,300.0,8.0
139,5.0,20.0,5.0,0.43333333333333335,0.38246031746031744,0.40773809523809523,300.0,8.0
140,5.0,20.0,5.0,0.5666666666666667,0.4957750582750583,0.5316666666666667,300.0,9.0
141,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,300.0,9.0
142,5.0,20.0,5.0,0.48333333333333334,0.4138888888888889,0.46845238095238095,300.0,9.0
143,5.0,20.0,5.0,0.6,0.6769264069264068,0.5835714285714285,300.0,9.0
144,5.0,20.0,5.0,0.43333333333333335,0.3745454545454545,0.4053571428571428,300.0,9.0
145,5.0,20.0,5.0,0.5666666666666667,0.4957750582750583,0.5316666666666667,300.0,10.0
146,5.0,20.0,5.0,0.6333333333333333,0.661904761904762,0.6186904761904761,300.0,10.0
147,5.0,20.0,5.0,0.5,0.42161255411255416,0.4809523809523809,300.0,10.0
148,5.0,20.0,5.0,0.5833333333333334,0.6619264069264068,0.5724603174603174,300.0,10.0
149,5.0,20.0,5.0,0.45,0.378989898989899,0.42380952380952375,300.0,10.0
150,5.0,20.0,5.0,0.425,0.37825396825396823,0.4033333333333333,200.0,1.0
151,5.0,20.0,5.0,0.5,0.42642857142857143,0.445,200.0,1.0
152,5.0,20.0,5.0,0.475,0.515,0.45999999999999996,200.0,1.0
153,5.0,20.0,5.0,0.35,0.31893939393939397,0.3416666666666667,200.0,1.0
154,5.0,20.0,5.0,0.375,0.3583333333333333,0.36,200.0,1.0
155,5.0,20.0,5.0,0.4,0.3584126984126984,0.3833333333333333,200.0,2.0
156,5.0,20.0,5.0,0.5,0.4447619047619048,0.4533333333333333,200.0,2.0
157,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0,2.0
158,5.0,20.0,5.0,0.375,0.3175,0.36666666666666664,200.0,2.0
159,5.0,20.0,5.0,0.4,0.3761904761904762,0.38,200.0,2.0
160,5.0,20.0,5.0,0.3,0.3056349206349206,0.29333333333333333,200.0,3.0
161,5.0,20.0,5.0,0.475,0.4197619047619048,0.42000000000000004,200.0,3.0
162,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0,3.0
163,5.0,20.0,5.0,0.35,0.31785714285714284,0.3416666666666667,200.0,3.0
164,5.0,20.0,5.0,0.425,0.3820779220779221,0.40499999999999997,200.0,3.0
165,5.0,20.0,5.0,0.275,0.2892063492063492,0.2633333333333333,200.0,4.0
166,5.0,20.0,5.0,0.5,0.43611111111111106,0.445,200.0,4.0
167,5.0,20.0,5.0,0.425,0.45619047619047626,0.41500000000000004,200.0,4.0
168,5.0,20.0,5.0,0.375,0.28833333333333333,0.36166666666666664,200.0,4.0
169,5.0,20.0,5.0,0.375,0.3502930402930403,0.355,200.0,4.0
170,5.0,20.0,5.0,0.275,0.2785714285714286,0.2633333333333333,200.0,5.0
171,5.0,20.0,5.0,0.525,0.4867063492063492,0.47000000000000003,200.0,5.0
