,K,alpha,k,accuracy,precision,recall
655,10.0,13.0,21.0,0.8,"[0.90909091 0.72727273 0.92857143 0.875      0.83333333 0.75
 1.         0.83333333 0.77777778 0.5       ]","[0.90909091 0.88888889 1.         0.77777778 0.5        0.75
 0.7        0.90909091 0.7        0.77777778]"
656,10.0,13.0,34.0,0.76,"[0.9        0.72727273 0.91666667 0.875      0.71428571 0.66666667
 0.85714286 0.90909091 0.63636364 0.5       ]","[0.81818182 0.88888889 0.84615385 0.77777778 0.5        0.75
 0.6        0.90909091 0.7        0.77777778]"
657,10.0,13.0,55.0,0.74,"[0.9        0.57142857 0.85714286 0.7        0.75       0.57142857
 0.83333333 0.83333333 0.75       0.63636364]","[0.81818182 0.88888889 0.92307692 0.77777778 0.6        0.5
 0.5        0.90909091 0.6        0.77777778]"
658,10.0,13.0,89.0,0.75,"[0.9        0.57142857 0.85714286 0.72727273 0.75       0.66666667
 0.83333333 0.83333333 0.75       0.63636364]","[0.81818182 0.88888889 0.92307692 0.88888889 0.6        0.5
 0.5        0.90909091 0.6        0.77777778]"
659,10.0,13.0,144.0,0.68,"[0.8        0.5        0.83333333 0.63636364 0.66666667 0.33333333
 0.83333333 0.9        0.66666667 0.63636364]","[0.72727273 0.88888889 0.76923077 0.77777778 0.6        0.25
 0.5        0.81818182 0.6        0.77777778]"
660,10.0,21.0,1.0,0.87,"[1.         1.         1.         0.75       0.90909091 0.85714286
 0.8        0.9        0.66666667 0.875     ]","[1.         1.         0.69230769 1.         1.         0.66666667
 0.88888889 0.9        0.8        0.77777778]"
661,10.0,21.0,2.0,0.88,"[1.         0.90909091 1.         0.64285714 0.90909091 1.
 0.8        0.9        0.875      0.875     ]","[1.         1.         0.76923077 1.         1.         0.77777778
 0.88888889 0.9        0.7        0.77777778]"
662,10.0,21.0,3.0,0.84,"[0.91666667 0.83333333 1.         0.69230769 0.90909091 1.
 0.8        0.88888889 0.7        0.77777778]","[1.         1.         0.61538462 1.         1.         0.66666667
 0.88888889 0.8        0.7        0.77777778]"
663,10.0,21.0,5.0,0.83,"[1.         0.83333333 1.         0.64285714 0.90909091 1.
 0.8        0.9        0.6        0.77777778]","[1.         1.         0.61538462 1.         1.         0.55555556
 0.88888889 0.9        0.6        0.77777778]"
664,10.0,21.0,8.0,0.86,"[1.         0.83333333 1.         0.69230769 0.90909091 1.
 0.8        0.9        0.75       0.77777778]","[1.         1.         0.69230769 1.         1.         0.77777778
 0.88888889 0.9        0.6        0.77777778]"
665,10.0,21.0,13.0,0.81,"[1.         0.83333333 1.         0.81818182 0.81818182 1.
 0.72727273 0.8        0.63636364 0.63636364]","[1.         1.         0.53846154 1.         0.9        0.55555556
 0.88888889 0.8        0.7        0.77777778]"
666,10.0,21.0,21.0,0.79,"[1.         0.83333333 1.         0.64285714 0.81818182 1.
 0.72727273 0.72727273 0.66666667 0.7       ]","[1.         1.         0.53846154 1.         0.9        0.44444444
 0.88888889 0.8        0.6        0.77777778]"
667,10.0,21.0,34.0,0.76,"[1.         0.76923077 1.         0.64285714 0.81818182 1.
 0.66666667 0.8        0.66666667 0.54545455]","[0.90909091 1.         0.46153846 1.         0.9        0.44444444
 0.88888889 0.8        0.6        0.66666667]"
668,10.0,21.0,55.0,0.73,"[1.         0.71428571 1.         0.6        0.81818182 1.
 0.63636364 0.77777778 0.66666667 0.5       ]","[0.90909091 1.         0.46153846 1.         0.9        0.33333333
 0.77777778 0.7        0.6        0.66666667]"
669,10.0,21.0,89.0,0.71,"[1.         0.66666667 1.         0.57142857 0.8        0.66666667
 0.63636364 0.77777778 0.77777778 0.46153846]","[0.90909091 1.         0.46153846 0.88888889 0.8        0.22222222
 0.77777778 0.7        0.7        0.66666667]"
670,10.0,21.0,144.0,0.66,"[1.         0.55555556 0.8        0.53333333 0.72727273 0.5
 0.6        0.8        0.85714286 0.41666667]","[0.90909091 1.         0.30769231 0.88888889 0.8        0.11111111
 0.66666667 0.8        0.6        0.55555556]"
671,10.0,21.0,1.0,0.84,"[0.90909091 0.81818182 0.86666667 1.         1.         0.75
 0.77777778 0.7        0.8        0.77777778]","[0.90909091 0.9        1.         1.         0.8        0.66666667
 0.77777778 0.7        0.8        0.77777778]"
672,10.0,21.0,2.0,0.87,"[0.91666667 0.76923077 0.86666667 0.9        0.90909091 0.875
 0.875      0.72727273 1.         1.        ]","[1.         1.         1.         1.         1.         0.77777778
 0.77777778 0.8        0.7        0.55555556]"
