,n,K,alpha,k,accuracy,precision,recall,norm
67,500.0,10.0,20.0,5.0,0.78,0.8011904761904762,0.7916666666666666,7
68,500.0,10.0,20.0,5.0,0.76,0.7616666666666667,0.77,7
69,500.0,10.0,20.0,5.0,0.78,0.818095238095238,0.7733333333333333,7
70,500.0,10.0,20.0,5.0,0.72,0.8117640692640693,0.7183333333333335,8
71,500.0,10.0,20.0,5.0,0.84,0.8508333333333334,0.8283333333333334,8
72,500.0,10.0,20.0,5.0,0.8,0.8352380952380951,0.7914285714285714,8
73,500.0,10.0,20.0,5.0,0.74,0.7680952380952382,0.7421428571428571,8
74,500.0,10.0,20.0,5.0,0.72,0.7566666666666666,0.7266666666666667,8
75,500.0,10.0,20.0,5.0,0.74,0.8099999999999999,0.725,8
76,500.0,10.0,20.0,5.0,0.84,0.8628571428571428,0.85,8
77,500.0,10.0,20.0,5.0,0.78,0.8011904761904762,0.7916666666666666,8
78,500.0,10.0,20.0,5.0,0.76,0.7616666666666667,0.77,8
79,500.0,10.0,20.0,5.0,0.76,0.8030952380952382,0.7483333333333333,8
80,500.0,10.0,20.0,5.0,0.72,0.8117640692640693,0.7183333333333335,9
81,500.0,10.0,20.0,5.0,0.84,0.8508333333333334,0.8283333333333334,9
82,500.0,10.0,20.0,5.0,0.8,0.8352380952380951,0.7914285714285714,9
83,500.0,10.0,20.0,5.0,0.76,0.7897619047619047,0.7621428571428571,9
84,500.0,10.0,20.0,5.0,0.72,0.7566666666666666,0.7266666666666667,9
85,500.0,10.0,20.0,5.0,0.74,0.8099999999999999,0.725,9
86,500.0,10.0,20.0,5.0,0.84,0.8628571428571428,0.85,9
87,500.0,10.0,20.0,5.0,0.76,0.7878571428571428,0.7716666666666666,9
88,500.0,10.0,20.0,5.0,0.76,0.7616666666666667,0.77,9
89,500.0,10.0,20.0,5.0,0.76,0.8030952380952382,0.7483333333333333,9
