,K,alpha,k,accuracy,precision,recall
0,2.0,0.0,1.0,0.854,0.8580011702317064,0.8536863405831518
1,2.0,0.0,5.0,0.802,0.8140487412698894,0.8032966999209028
2,2.0,0.0,10.0,0.794,0.8199795021515698,0.7968532213175366
3,2.0,0.0,15.0,0.78,0.8148975735187827,0.7829351977541955
4,2.0,0.0,20.0,0.772,0.8129946070335622,0.7736082746772726
5,2.0,0.0,25.0,0.734,0.7910333064225599,0.7358714155877285
6,2.0,0.0,30.0,0.732,0.7932322897955597,0.7327684004878249
7,2.0,0.0,35.0,0.712,0.7831040866654029,0.7122926310273093
8,2.0,0.0,40.0,0.702,0.7836456061100167,0.702710578081702
9,2.0,0.0,45.0,0.692,0.7870560543955263,0.6920402127777905
10,2.0,0.0,50.0,0.686,0.7829109864928148,0.6855418161498665
11,2.0,0.0,55.0,0.678,0.7830152693033521,0.6777621520911502
12,2.0,0.0,60.0,0.666,0.7643170404988167,0.6642593287959506
13,2.0,0.0,65.0,0.664,0.7701527583352918,0.6623366784829036
14,2.0,0.0,70.0,0.648,0.7630946916117198,0.6459368877973984
15,2.0,0.0,75.0,0.644,0.7687478495351913,0.6409424619334074
16,2.0,0.0,80.0,0.644,0.7711017968455474,0.6413804961214415
17,2.0,0.0,85.0,0.644,0.7716369385646077,0.6412325822550403
18,2.0,0.0,90.0,0.63,0.7603524207742819,0.6261470301969819
19,2.0,0.0,95.0,0.628,0.7630143155242258,0.6239172493957725
20,2.0,0.0,100.0,0.61,0.7504232241188763,0.6061235304769107
21,2.0,0.0,105.0,0.608,0.7574249869040448,0.6039342060291829
22,2.0,0.0,110.0,0.606,0.7625142484634011,0.6014716953838991
23,2.0,0.0,115.0,0.598,0.7464367664960567,0.5928336710548809
24,2.0,0.0,120.0,0.582,0.7329239017452237,0.576146565889515
25,2.0,0.0,125.0,0.58,0.7370909185355188,0.5734802992713849
26,2.0,0.0,130.0,0.562,0.7246059428580848,0.5548220165782956
27,2.0,0.0,135.0,0.552,0.7189922064989083,0.5443563046524995
28,2.0,0.0,140.0,0.546,0.719359279782324,0.5380358918720028
29,2.0,0.0,145.0,0.548,0.7266194185766663,0.5398713304324139
30,2.0,0.0,150.0,0.528,0.7083604102393924,0.5199762570184329
31,2.0,0.0,155.0,0.528,0.7137360282014458,0.5196347870971311
32,2.0,0.0,160.0,0.52,0.7063858110156022,0.5113761324647095
33,2.0,0.0,165.0,0.512,0.7027341486289175,0.5031114932757006
34,2.0,0.0,170.0,0.498,0.6853434267350631,0.4883462360022227
35,2.0,0.0,175.0,0.488,0.6907162646689124,0.47970369710080607
36,2.0,0.0,180.0,0.484,0.6911365210160098,0.47462923922400985
37,2.0,0.0,185.0,0.476,0.6488778153551865,0.46629145351575146
38,2.0,0.0,190.0,0.482,0.6563181320001255,0.4726214855285565
39,2.0,0.0,195.0,0.476,0.6361547993052029,0.46635033604312126
40,2.0,0.0,200.0,0.466,0.6891197992348888,0.45644087840959857
41,2.0,0.0,205.0,0.472,0.6843822683345588,0.4621629749405186
42,2.0,0.0,210.0,0.47,0.682919995370585,0.4600377976858141
43,2.0,0.0,215.0,0.452,0.6661804307930068,0.44117667220686485
44,2.0,0.0,220.0,0.45,0.6316320003487992,0.4390933388735315
45,2.0,0.0,225.0,0.448,0.6114080887402875,0.4368635580723221
46,2.0,0.0,230.0,0.444,0.6223258541905147,0.4328271913888965
47,2.0,0.0,235.0,0.444,0.6231631751443045,0.43256575348039983
48,2.0,0.0,240.0,0.442,0.621874628524873,0.4302193806881068
49,2.0,0.0,245.0,0.436,0.6157759207737135,0.4239955578256285
50,2.0,0.0,250.0,0.426,0.5961631108864942,0.4134873288930298
51,2.0,0.0,255.0,0.426,0.6448138654382725,0.4137551779681436
52,2.0,0.0,260.0,0.426,0.5963613320072316,0.41394414244282246
53,2.0,0.0,265.0,0.416,0.5877719304551471,0.40359270010134213
54,2.0,0.0,270.0,0.404,0.5737963323372717,0.3909162268376501
55,2.0,0.0,275.0,0.406,0.569905260700403,0.3927487240505821
56,2.0,0.0,280.0,0.404,0.5662330531929402,0.39012729679205804
57,2.0,0.0,285.0,0.398,0.5628159588683613,0.3836039020204046
58,2.0,0.0,290.0,0.402,0.5702147878157251,0.3876890044926039
59,2.0,0.0,295.0,0.416,0.5956880287073909,0.40090942605090135
60,2.0,0.0,300.0,0.406,0.6386336104341843,0.3901768476057785
61,2.0,0.0,305.0,0.404,0.6444399710933324,0.38872574916134206
62,2.0,0.0,310.0,0.404,0.6446019417600141,0.38847491304094073
63,2.0,0.0,315.0,0.402,0.5391770380140584,0.38590480973079944
64,2.0,0.0,320.0,0.402,0.5448176716441593,0.3851063996581958
65,2.0,0.0,325.0,0.402,0.543732409036952,0.38440602025084974
66,2.0,0.0,330.0,0.396,0.43668174808881366,0.3775998200493321
67,2.0,0.0,335.0,0.408,0.5479830538294901,0.38857332125019844
68,2.0,0.0,340.0,0.402,0.5495349761227792,0.382626027802905
69,2.0,0.0,345.0,0.396,0.42562955004801334,0.3756791438659831
70,2.0,0.0,350.0,0.398,0.4959378441618078,0.37727548918657616
71,2.0,0.0,355.0,0.41,0.5991619701650385,0.3886062974116176
72,2.0,0.0,360.0,0.404,0.607568510746137,0.3822537067475604
73,2.0,0.0,365.0,0.394,0.6140480644881268,0.3723649435499737
74,2.0,0.0,370.0,0.398,0.41751092879098534,0.3746928874941209
75,2.0,0.0,375.0,0.394,0.3323473179023187,0.370632429977781
76,2.0,0.0,380.0,0.39,0.29256240097361597,0.36567901009314674
77,2.0,0.0,385.0,0.388,0.30549199099548197,0.3625007095476735
78,2.0,0.0,390.0,0.382,0.300580621498672,0.35567763154338106
79,2.0,0.0,395.0,0.374,0.29186785332696813,0.3474804637873898
80,2.0,0.0,400.0,0.368,0.26800548389625806,0.34045600939576276
81,2.0,0.0,405.0,0.352,0.2754087579087579,0.32312382079934265
82,2.0,0.0,410.0,0.34,0.266987582712279,0.31024857144401735
83,2.0,0.0,415.0,0.334,0.27394895395013846,0.3035281413364905
84,2.0,0.0,420.0,0.32,0.3166637710115971,0.28907350643593527
85,2.0,0.0,425.0,0.296,0.29821007206221994,0.2645972201949432
86,2.0,0.0,430.0,0.282,0.18481787531250654,0.25045694870173046
87,2.0,0.0,435.0,0.274,0.2039092536762047,0.24276045129935073
88,2.0,0.0,440.0,0.264,0.1787702438553071,0.2332498094357677
89,2.0,0.0,445.0,0.25,0.20050697064129902,0.21951161495753527
90,2.0,0.0,450.0,0.224,0.22050726547826946,0.1947211004611384
91,2.0,0.0,455.0,0.216,0.12153486748689149,0.18713353552063233
92,2.0,0.0,460.0,0.206,0.12277510608203679,0.1774928774928775
93,2.0,0.0,465.0,0.188,0.12943628788446965,0.16047008547008546
94,2.0,0.0,470.0,0.17,0.12114621163569037,0.14344729344729346
95,2.0,0.0,475.0,0.154,0.12319148936170213,0.12834757834757834
96,2.0,0.0,480.0,0.136,0.11556206088992974,0.11132478632478633
97,2.0,0.0,485.0,0.128,0.07921727395411607,0.10377492877492878
98,2.0,0.0,490.0,0.124,0.0124,0.1
99,2.0,0.0,495.0,0.124,0.0124,0.1
100,2.0,0.0,1.0,0.828,0.8339091446079057,0.826026214147365
101,2.0,0.0,5.0,0.824,0.830917054885022,0.8218279943703897
102,2.0,0.0,10.0,0.79,0.8026673049702288,0.7873072648466025
103,2.0,0.0,15.0,0.772,0.7901291058312918,0.770057276978907
104,2.0,0.0,20.0,0.762,0.7893083133822147,0.7592257499226263
105,2.0,0.0,25.0,0.736,0.7668650844897199,0.7325611471262597
106,2.0,0.0,30.0,0.724,0.7609559734737469,0.7219164536661149
