,K,alpha,k,accuracy,precision,recall,n
85,5.0,20.0,14.0,0.1,0.01,0.1,100.0
86,5.0,20.0,15.0,0.1,0.01,0.1,100.0
87,5.0,20.0,16.0,0.1,0.01,0.1,100.0
88,5.0,20.0,17.0,0.1,0.01,0.1,100.0
89,5.0,20.0,18.0,0.1,0.01,0.1,100.0
90,5.0,20.0,19.0,0.1,0.01,0.1,100.0
91,5.0,20.0,20.0,0.1,0.01,0.1,100.0
92,5.0,20.0,21.0,0.1,0.01,0.1,100.0
93,5.0,20.0,22.0,0.1,0.01,0.1,100.0
94,5.0,20.0,23.0,0.1,0.01,0.1,100.0
95,5.0,20.0,24.0,0.1,0.01,0.1,100.0
96,5.0,20.0,1.0,0.2,0.11666666666666667,0.15,100.0
97,5.0,20.0,2.0,0.15,0.11052631578947367,0.15,100.0
98,5.0,20.0,3.0,0.15,0.016666666666666666,0.1,100.0
99,5.0,20.0,4.0,0.15,0.015789473684210527,0.1,100.0
100,5.0,20.0,5.0,0.1,0.01,0.1,100.0
101,5.0,20.0,6.0,0.1,0.01,0.1,100.0
102,5.0,20.0,7.0,0.1,0.01111111111111111,0.1,100.0
103,5.0,20.0,8.0,0.1,0.01111111111111111,0.1,100.0
104,5.0,20.0,9.0,0.15,0.015789473684210527,0.1,100.0
105,5.0,20.0,10.0,0.1,0.010526315789473684,0.1,100.0
106,5.0,20.0,11.0,0.15,0.016666666666666666,0.1,100.0
107,5.0,20.0,12.0,0.15,0.016666666666666666,0.1,100.0
108,5.0,20.0,13.0,0.1,0.01,0.1,100.0
109,5.0,20.0,14.0,0.1,0.01,0.1,100.0
110,5.0,20.0,15.0,0.1,0.01,0.1,100.0
111,5.0,20.0,16.0,0.1,0.01,0.1,100.0
112,5.0,20.0,17.0,0.1,0.010526315789473684,0.1,100.0
113,5.0,20.0,18.0,0.1,0.01111111111111111,0.1,100.0
114,5.0,20.0,19.0,0.05,0.005555555555555555,0.1,100.0
115,5.0,20.0,20.0,0.15,0.016666666666666666,0.1,100.0
116,5.0,20.0,21.0,0.15,0.016666666666666666,0.1,100.0
117,5.0,20.0,22.0,0.05,0.005263157894736842,0.1,100.0
118,5.0,20.0,23.0,0.15,0.015,0.1,100.0
119,5.0,20.0,24.0,0.1,0.01,0.1,100.0
120,5.0,20.0,1.0,0.325,0.32,0.32166666666666666,200.0
121,5.0,20.0,2.0,0.35,0.3583333333333333,0.34500000000000003,200.0
122,5.0,20.0,3.0,0.375,0.34222222222222226,0.36666666666666664,200.0
123,5.0,20.0,4.0,0.375,0.33630952380952384,0.36833333333333335,200.0
124,5.0,20.0,5.0,0.4,0.3584126984126984,0.3833333333333333,200.0
125,5.0,20.0,6.0,0.5,0.45714285714285713,0.47833333333333333,200.0
126,5.0,20.0,7.0,0.45,0.525,0.42333333333333334,200.0
127,5.0,20.0,8.0,0.4,0.4272222222222222,0.3783333333333333,200.0
128,5.0,20.0,9.0,0.425,0.37977272727272726,0.4033333333333333,200.0
129,5.0,20.0,10.0,0.375,0.4046428571428571,0.3583333333333333,200.0
130,5.0,20.0,11.0,0.375,0.4108441558441559,0.35333333333333333,200.0
131,5.0,20.0,12.0,0.425,0.4806060606060606,0.39333333333333337,200.0
132,5.0,20.0,13.0,0.525,0.5368253968253969,0.49833333333333335,200.0
133,5.0,20.0,14.0,0.525,0.529047619047619,0.49833333333333335,200.0
134,5.0,20.0,15.0,0.525,0.5357142857142857,0.5033333333333333,200.0
135,5.0,20.0,16.0,0.475,0.525,0.4583333333333333,200.0
136,5.0,20.0,17.0,0.45,0.5238095238095237,0.4383333333333333,200.0
137,5.0,20.0,18.0,0.425,0.5047619047619047,0.4133333333333333,200.0
138,5.0,20.0,19.0,0.425,0.4015873015873016,0.4133333333333333,200.0
139,5.0,20.0,20.0,0.4,0.38357142857142856,0.3883333333333333,200.0
140,5.0,20.0,21.0,0.375,0.360515873015873,0.36833333333333335,200.0
141,5.0,20.0,22.0,0.375,0.3617063492063492,0.36833333333333335,200.0
142,5.0,20.0,23.0,0.35,0.2509523809523809,0.33999999999999997,200.0
143,5.0,20.0,24.0,0.3,0.2342857142857143,0.29,200.0
144,5.0,20.0,1.0,0.35,0.34285714285714286,0.32166666666666666,200.0
145,5.0,20.0,2.0,0.35,0.21608585858585858,0.31333333333333335,200.0
146,5.0,20.0,3.0,0.375,0.3458333333333333,0.3383333333333333,200.0
147,5.0,20.0,4.0,0.4,0.3902777777777778,0.37166666666666665,200.0
148,5.0,20.0,5.0,0.5,0.4447619047619048,0.4533333333333333,200.0
149,5.0,20.0,6.0,0.425,0.37124542124542126,0.375,200.0
150,5.0,20.0,7.0,0.425,0.37068181818181817,0.3866666666666666,200.0
151,5.0,20.0,8.0,0.45,0.38226190476190475,0.4033333333333333,200.0
152,5.0,20.0,9.0,0.325,0.24083333333333332,0.28,200.0
153,5.0,20.0,10.0,0.375,0.27309523809523806,0.325,200.0
154,5.0,20.0,11.0,0.425,0.37642857142857145,0.375,200.0
155,5.0,20.0,12.0,0.4,0.3686507936507937,0.355,200.0
156,5.0,20.0,13.0,0.375,0.39976190476190476,0.32999999999999996,200.0
157,5.0,20.0,14.0,0.425,0.5471978021978022,0.3883333333333333,200.0
158,5.0,20.0,15.0,0.4,0.45759018759018766,0.36333333333333334,200.0
159,5.0,20.0,16.0,0.425,0.42993589743589744,0.38,200.0
160,5.0,20.0,17.0,0.425,0.42993589743589744,0.38,200.0
161,5.0,20.0,18.0,0.4,0.31145104895104897,0.355,200.0
162,5.0,20.0,19.0,0.375,0.3073484848484848,0.335,200.0
163,5.0,20.0,20.0,0.375,0.35568181818181815,0.335,200.0
164,5.0,20.0,21.0,0.4,0.3573484848484848,0.355,200.0
165,5.0,20.0,22.0,0.325,0.2686580086580087,0.29000000000000004,200.0
166,5.0,20.0,23.0,0.325,0.2686580086580087,0.29000000000000004,200.0
167,5.0,20.0,24.0,0.325,0.28365800865800866,0.29000000000000004,200.0
168,5.0,20.0,1.0,0.275,0.24690476190476188,0.26666666666666666,200.0
169,5.0,20.0,2.0,0.25,0.19984848484848483,0.2333333333333333,200.0
170,5.0,20.0,3.0,0.275,0.33484848484848484,0.26166666666666666,200.0
171,5.0,20.0,4.0,0.325,0.38151515151515153,0.315,200.0
172,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0
173,5.0,20.0,6.0,0.4,0.4133333333333333,0.36833333333333335,200.0
174,5.0,20.0,7.0,0.4,0.33785714285714286,0.36,200.0
175,5.0,20.0,8.0,0.425,0.43583333333333335,0.3983333333333333,200.0
176,5.0,20.0,9.0,0.4,0.39666666666666667,0.3683333333333333,200.0
177,5.0,20.0,10.0,0.425,0.43679653679653685,0.3933333333333333,200.0
178,5.0,20.0,11.0,0.375,0.4117965367965368,0.3483333333333333,200.0
179,5.0,20.0,12.0,0.4,0.45870129870129867,0.3733333333333333,200.0
180,5.0,20.0,13.0,0.45,0.47298701298701296,0.41833333333333333,200.0
181,5.0,20.0,14.0,0.425,0.47071428571428575,0.3933333333333333,200.0
182,5.0,20.0,15.0,0.425,0.4572727272727272,0.3933333333333333,200.0
183,5.0,20.0,16.0,0.35,0.2833333333333333,0.31,200.0
184,5.0,20.0,17.0,0.35,0.2839285714285714,0.31,200.0
185,5.0,20.0,18.0,0.325,0.2708333333333333,0.295,200.0
186,5.0,20.0,19.0,0.3,0.25974358974358974,0.275,200.0
187,5.0,20.0,20.0,0.35,0.38974358974358975,0.3233333333333333,200.0
188,5.0,20.0,21.0,0.3,0.25831501831501835,0.27,200.0
189,5.0,20.0,22.0,0.325,0.37749999999999995,0.30333333333333334,200.0
190,5.0,20.0,23.0,0.275,0.24666666666666667,0.24499999999999997,200.0
191,5.0,20.0,24.0,0.225,0.21904761904761902,0.20500000000000002,200.0
192,5.0,20.0,1.0,0.375,0.3445238095238095,0.34833333333333333,200.0
193,5.0,20.0,2.0,0.325,0.3777777777777778,0.3133333333333333,200.0
194,5.0,20.0,3.0,0.375,0.41531746031746036,0.35333333333333333,200.0
195,5.0,20.0,4.0,0.45,0.48047619047619045,0.43166666666666664,200.0
196,5.0,20.0,5.0,0.375,0.3175,0.36666666666666664,200.0
197,5.0,20.0,6.0,0.375,0.2946825396825397,0.34833333333333333,200.0
198,5.0,20.0,7.0,0.375,0.29111111111111115,0.34833333333333333,200.0
199,5.0,20.0,8.0,0.35,0.2703968253968254,0.32333333333333336,200.0
200,5.0,20.0,9.0,0.3,0.2848412698412698,0.2833333333333333,200.0
