,City,Country,Continent,Longitude,Latitude,idx
0,Antananarivo,MG,AF,47.5296,-18.913,"(4, 5, 6, 7)"
1,Córdoba,AR,SA,-64.1756,-31.429,"(0,)"
2,London,GB,EU,-0.093,51.5088,"(2,)"
3,Newark,US,NA,-74.1634,40.738,"(1,)"
4,Rome,IT,EU,12.5126,41.8904,"(3,)"
